CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
303220836,9,MANHATTAN,03/19/2025,21:03:00,03/19/2025,21:04:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,419,"LARCENY,GRAND FROM PERSON,UNCL",STREET,03/19/2025,(null),18-24,BLACK,M,,18-24,WHITE,F,986663,204376,40.72765,-73.991295,"(40.72765, -73.991295)",POINT (-73.991295 40.72765)
303807124,9,MANHATTAN,03/25/2025,18:00:00,03/26/2025,18:46:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESTAURANT/DINER,03/27/2025,(null),UNKNOWN,UNKNOWN,U,,45-64,ASIAN / PACIFIC ISLANDER,F,988484,205422,40.730522,-73.984724,"(40.730522, -73.984724)",POINT (-73.984724 40.730522)
299998281,9,MANHATTAN,01/25/2025,02:13:00,01/25/2025,02:23:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,236,MISDEMEANOR,(null),DANGEROUS WEAPONS,(null),PATROL BORO MAN SOUTH,782,"WEAPONS, POSSESSION, ETC",TRANSIT - NYC SUBWAY,01/25/2025,14 ST.-UNION SQUARE,45-64,BLACK,M,4,UNKNOWN,UNKNOWN,E,987048,206851,40.73443438732101,-73.98990393253564,"(40.73443438732101, -73.98990393253564)",POINT (-73.98990393253564 40.73443438732101)
298837769,9,MANHATTAN,01/01/2025,23:00:00,01/02/2025,08:11:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,351,MISDEMEANOR,FRONT OF,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,01/02/2025,(null),UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,988773,202966,40.723781,-73.983681,"(40.723781, -73.983681)",POINT (-73.983681 40.723781)
303918027,9,MANHATTAN,03/21/2025,10:00:00,03/21/2025,10:35:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,348,MISDEMEANOR,FRONT OF,VEHICLE AND TRAFFIC LAWS,(null),PATROL BORO MAN SOUTH,916,LEAVING SCENE-ACCIDENT-PERSONA,STREET,03/31/2025,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,985639,203598,40.725516,-73.99499,"(40.725516, -73.99499)",POINT (-73.99499 40.725516)
300468784,9,MANHATTAN,12/23/2024,09:00:00,01/31/2025,14:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO MAN SOUTH,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,02/03/2025,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE,M,988631,204189,40.727138,-73.984194,"(40.727138, -73.984194)",POINT (-73.984194 40.727138)
299576832,9,MANHATTAN,01/16/2025,17:00:00,01/16/2025,17:40:00,COMPLETED,(null),609,2,N.Y. HOUSING POLICE,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - PUBLIC HOUSING,01/16/2025,(null),25-44,WHITE HISPANIC,F,,65+,WHITE HISPANIC,F,990750,201291,40.719182,-73.976552,"(40.719182, -73.976552)",POINT (-73.976552 40.719182)
299506656,9,MANHATTAN,01/15/2025,19:50:00,01/15/2025,20:01:00,COMPLETED,(null),,1,N.Y. TRANSIT POLICE,675,VIOLATION,(null),ADMINISTRATIVE CODE,(null),PATROL BORO MAN SOUTH,890,N.Y.C. TRANSIT AUTH. R&R,TRANSIT - NYC SUBWAY,01/15/2025,2 AVENUE,25-44,BLACK,M,4,UNKNOWN,UNKNOWN,E,986738,202922,40.72365033469323,-73.99102396312567,"(40.72365033469323, -73.99102396312567)",POINT (-73.99102396312567 40.72365033469323)
299388620,9,MANHATTAN,01/11/2025,18:00:00,01/12/2025,08:30:00,COMPLETED,(null),609,2,N.Y. HOUSING POLICE,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,(null),PATROL BORO MAN SOUTH,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE - PUBLIC HOUSING,01/12/2025,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,990750,201291,40.719182,-73.976552,"(40.719182, -73.976552)",POINT (-73.976552 40.719182)
303404079,9,MANHATTAN,03/22/2025,01:59:00,03/22/2025,02:28:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,358,MISDEMEANOR,(null),OFFENSES INVOLVING FRAUD,(null),PATROL BORO MAN SOUTH,705,"FORGERY,ETC.-MISD.",STREET,03/22/2025,(null),45-64,WHITE,M,,UNKNOWN,UNKNOWN,E,985402,203970,40.72652711,-73.99584371,"(40.72652711, -73.99584371)",POINT (-73.99584371 40.72652711)
